"","Time","ID","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50","sp51","sp52","sp53","sp54","sp55","sp56","sp57","sp58","sp59","sp60","sp61","sp62","sp63","sp64","sp65","sp66","sp67","sp68","sp69","sp70","sp71","sp72","sp73","sp74","sp75","sp76","sp77","sp78","sp79","sp80","sp81","sp82","sp83","sp84","sp85","sp86","sp87","sp88","sp89","sp90","sp91","sp92","sp93","sp94","sp95","sp96","sp97","sp98","sp99","sp100"
"Sbj1_Time2",2,1,13,55,13,26,17,8,46,11,25,24,31,34,14,67,51,34,11,10,6,14,22,29,24,52,10,29,48,30,26,17,28,50,53,14,43,18,13,13,15,40,28,19,80,18,13,52,54,18,22,17,16,40,52,14,35,27,54,41,63,16,11,14,46,42,28,29,23,36,34,18,31,17,31,18,15,14,32,5,74,6,20,16,9,39,17,15,39,30,17,11,13,63,14,50,16,14,14,15,17,46
"Sbj10_Time2",2,10,18,23,27,31,9,37,15,18,38,12,14,21,29,17,17,17,9,32,8,26,9,40,10,14,29,47,14,41,22,25,35,12,19,27,12,11,24,27,30,23,35,40,11,22,19,16,19,20,27,42,18,33,37,15,35,25,33,11,25,42,19,15,15,12,16,16,26,22,35,24,37,34,13,27,22,15,16,5,38,14,37,39,31,34,17,17,18,8,25,32,26,18,19,12,35,20,12,34,29,7
"Sbj100_Time2",2,100,18,22,30,22,16,18,29,33,10,36,11,42,29,16,18,19,16,12,29,24,18,53,6,21,14,13,14,8,44,29,23,46,15,32,19,19,21,25,36,13,15,33,11,17,13,13,13,17,17,15,24,40,9,15,16,17,13,29,35,24,15,25,15,17,45,12,40,16,28,17,10,15,29,16,19,15,10,18,38,27,19,43,25,23,8,15,28,38,34,17,25,24,23,13,13,17,25,30,17,19
"Sbj11_Time2",2,11,23,37,13,18,51,14,9,20,9,33,16,38,9,25,18,45,24,18,18,11,22,54,22,4,33,32,16,48,15,34,24,39,24,18,37,7,15,15,23,14,9,36,16,21,10,23,46,33,46,36,21,54,15,24,26,48,20,15,8,16,23,47,33,29,17,39,12,12,65,25,36,28,30,25,32,37,39,14,14,34,14,32,22,17,20,14,25,31,29,35,15,25,26,53,22,44,44,14,23,24
"Sbj12_Time2",2,12,12,20,49,80,76,32,42,38,56,41,20,19,13,17,41,114,26,10,45,8,9,15,59,66,17,32,55,27,29,44,45,9,10,11,25,69,31,12,60,34,36,50,23,28,16,25,14,25,48,25,21,26,75,43,30,84,16,36,14,48,14,15,52,20,7,41,81,45,14,54,13,43,33,12,70,51,27,20,21,10,52,88,103,42,70,43,9,18,15,15,33,18,36,16,25,11,52,14,9,39
"Sbj13_Time2",2,13,35,14,20,28,29,11,10,19,24,13,19,19,15,31,13,16,16,14,26,25,27,23,15,13,15,14,25,39,21,28,30,17,12,16,22,21,26,12,22,16,9,17,14,20,38,25,26,13,28,8,51,15,5,19,15,32,10,12,25,11,14,12,22,20,19,30,16,29,37,22,19,32,19,20,32,30,5,11,35,17,16,44,14,10,12,29,21,25,30,23,10,14,24,8,23,37,23,40,24,15
"Sbj14_Time2",2,14,33,14,17,54,34,15,16,27,11,16,21,53,7,27,41,17,58,33,18,26,33,17,16,18,50,26,16,13,16,35,51,59,14,32,15,23,28,14,36,15,16,16,18,21,30,24,46,12,23,22,43,16,14,30,8,42,16,44,16,12,18,19,20,29,12,12,52,38,26,23,34,26,36,25,42,50,14,28,15,47,18,14,34,21,14,42,23,51,51,34,25,29,18,13,24,26,11,42,40,45
"Sbj15_Time2",2,15,54,12,61,42,54,13,16,60,50,43,13,82,53,14,19,13,15,56,57,70,61,11,17,13,32,36,16,11,8,48,63,25,62,63,10,7,56,13,74,61,21,40,12,15,31,14,75,19,13,62,20,50,27,48,18,19,14,14,19,28,11,10,16,71,58,20,8,18,44,52,15,48,17,49,13,12,17,15,36,36,66,39,64,76,28,28,9,27,10,17,34,49,47,22,32,10,11,31,54,68
"Sbj16_Time2",2,16,4,22,52,45,28,29,54,30,12,18,13,66,19,16,25,18,39,12,35,46,31,18,46,42,21,15,15,12,36,18,28,46,12,11,10,18,16,16,48,17,57,47,14,26,38,79,10,18,41,42,22,15,19,38,16,13,21,20,28,21,55,29,35,12,41,53,12,21,11,38,23,34,20,36,22,18,11,13,25,12,31,16,11,15,23,20,58,45,9,34,15,25,56,13,42,15,16,15,34,15
"Sbj17_Time2",2,17,34,26,13,24,27,12,18,13,17,14,11,11,41,16,12,13,42,12,16,15,32,17,20,18,25,17,37,17,9,14,20,18,10,27,17,40,22,24,26,21,24,25,22,34,17,30,22,16,13,20,13,24,15,15,31,28,21,32,47,32,28,17,27,22,14,29,17,21,13,18,27,12,11,28,10,12,23,20,26,30,20,16,36,26,20,16,16,34,24,35,23,21,12,8,20,20,22,22,13,15
"Sbj18_Time2",2,18,34,17,24,34,11,106,10,31,12,87,49,29,33,42,6,16,55,25,15,31,17,11,16,57,11,10,10,15,19,29,17,18,17,31,33,22,51,12,24,33,90,14,15,34,17,39,39,15,14,34,79,13,21,35,12,23,55,38,23,42,9,34,23,42,11,59,10,17,26,54,17,22,10,50,36,29,13,71,15,4,55,58,43,42,80,30,12,8,74,13,13,13,28,55,46,51,15,34,18,25
"Sbj19_Time2",2,19,64,13,34,19,17,55,21,13,11,41,13,18,35,14,24,21,24,15,25,37,47,34,12,10,26,35,15,16,19,17,15,8,46,17,37,16,22,17,22,10,15,28,23,54,15,24,28,62,44,38,15,19,27,32,45,39,16,38,12,17,40,13,15,27,19,21,11,32,48,21,33,15,12,24,16,7,43,20,66,28,13,30,31,25,34,22,9,53,18,12,12,18,16,15,13,51,36,39,14,7
"Sbj2_Time2",2,2,25,16,20,9,11,27,35,23,35,17,7,28,28,46,37,29,7,35,24,16,14,26,30,40,11,12,15,16,40,12,22,6,18,14,45,27,13,37,34,13,29,10,12,21,12,34,19,19,34,18,17,9,17,30,34,19,15,25,21,41,17,21,15,22,25,20,17,13,17,25,12,19,32,17,17,17,29,35,11,23,15,24,12,53,13,48,20,24,19,20,19,19,35,21,11,19,20,19,15,14
"Sbj20_Time2",2,20,18,13,14,18,41,21,41,45,48,32,15,13,17,28,44,6,13,23,15,32,24,34,48,33,17,16,21,40,16,26,27,11,13,25,13,13,14,15,9,19,32,33,15,17,14,13,56,17,34,15,20,23,8,13,17,17,25,17,18,17,18,19,26,13,13,16,18,49,12,13,36,35,20,17,38,14,31,21,39,43,34,29,33,38,22,42,24,18,45,13,26,27,25,44,19,29,22,35,11,35
